D;SP500;AAPL;AMZN;FB;GOOGL;KO;MS;MSFT;NFLX;XOM,,,,,,,,,,
11/11/2019;3087,01001;65,550003;1771,650024;189,610001;1298,280029;51,84;49,09;146,110001;294,179993;70,339996
12/11/2019;3091,840088;65,489998;1778;194,470001;1297,209961;51,709999;49,009998;147,070007;292,01001;69,370003,
13/11/2019;3094,040039;66,1175;1753,109985;193,190002;1296,180054;52,41;48,389999;147,309998;283,109985;68,800003
14/11/2019;3096,629883;65,660004;1754,599976;193,149994;1309,150024;52,630001;48,610001;148,059998;289,619995;68,5
15/11/2019;3120,459961;66,440002;1739,48999;195,100006;1333,540039;52,669998;48,990002;149,970001;295,029999;69,190002
18/11/2019;3122,030029;66,775002;1752,530029;197,399994;1319,839966;53,029999;49,029999;150,339996;302,570007;68,519997
19/11/2019;3120,179932;66,572502;1752,790039;199,320007;1312,589966;53,080002;49,330002;150,389999;302,600006;67,82
20/11/2019;3108,459961;65,797501;1745,530029;197,509995;1301,859985;53,220001;49,099998;149,619995;305,160004;68,29999
21/11/2019;3103,540039;65,502502;1734,709961;197,929993;1300,140015;52,959999;48,84;149,479996;311,690002;69,669998
22/11/2019;3110,290039;65,445;1745,719971;198,820007;1293,670044;53,029999;49,25;149,589996;310,480011;69,370003
25/11/2019;3133,639893;66,592499;1773,839966;199,789993;1305,640015;53,220001;49,959999;151,229996;315,549988;68,910004
26/11/2019;3140,52002;66,072502;1796,939941;198,970001;1313;53,900002;49,41;152,029999;312,48999;68,739998,
27/11/2019;3153,629883;66,959999;1818,51001;202;1312,130005;53,950001;49,779999;152,320007;315,929993;68,699997,
29/11/2019;3140,97998;66,8125;1800,800049;201,639999;1304,089966;53,400002;49,48;151,380005;314,660004;68,129997
2/12/2019;3113,870117;66,040001;1781,599976;199,699997;1288,859985;53,75;49,080002;149,550003;309,98999;68,419998
3/12/2019;3093,199951;64,862503;1769,959961;198,820007;1294,73999;53,799999;48,110001;149,309998;306,160004;67,879997
4/12/2019;3112,76001;65,434998;1760,689941;198,710007;1318,939941;54,290001;48,84;149,850006;304,320007;68,650002
